ClusterId,NodeId,NodeType,Region,CurrItems (max over last week),BytesUsedForCache (max over last week),CacheHits (max over last week),CacheMisses (max over last week),CurrConnections (max over last week),NetworkBytesIn (max over last week),NetworkBytesOut (max over last week),NetworkPacketsIn (max over last week),NetworkPacketsOut (max over last week),EngineCPUUtilization (max over last week),Evictions (max over last week),ReplicationBytes (max over last week),ReplicationLag (max over last week),GetTypeCmds (peak last week / hour),HashBasedCmds (peak last week / hour),HyperLogLogBasedCmds (peak last week / hour),KeyBasedCmds (peak last week / hour),ListBasedCmds (peak last week / hour),SetBasedCmds (peak last week / hour),SetTypeCmds (peak last week / hour),SortedSetBasedCmds (peak last week / hour),StringBasedCmds (peak last week / hour),StreamBasedCmds (peak last week / hour),,
edm,edm-003,cache.r5.large,ap-southeast-1b,83,4924912,0,0,5,93003,1199237,555,1050,0.08336112,0,7287,0,0,2,0,5,0,0,22,0,20,0,,
ff-assignment,ff-assignment-001,cache.r3.large,ap-southeast-1b,607308,699554192,104707,465855,37,89815351,86331114,803843,843841,33.62227038,0,17401112,0,495302,0,0,55405,0,0,124063,433547,236540,0,,
ff-assignment,ff-assignment-002,cache.r3.large,ap-southeast-1a,607305,698338712,1,0,5,24032999,132497676,97994,99886,3.966005666,0,0,0,1,0,0,55823,0,0,120224,3058,61487,0,,
ff-watchdog,ff-watchdog-001,cache.r4.large,ap-southeast-1a,2,6151440,0,16443,41,4961614,3714539,55985,49764,1.400233372,0,3317,0,16443,0,0,0,0,0,0,0,16443,0,,
ff-watchdog,ff-watchdog-002,cache.r4.large,ap-southeast-1b,2,4847952,0,0,5,96213,1170136,647,1036,0.08336112,0,0,0,0,0,0,0,0,0,0,0,0,0,,
flo-redis,flo-redis-0001-001,cache.r4.2xlarge,ap-southeast-1a,4193196,21255470112,413476,17299,226,482802849,1382222672,1813698,2164358,34.93333333,0,327274222,0,259205,138410,0,34393,0,281237,568760,191,379666,0,,
flo-redis,flo-redis-0001-002,cache.r4.2xlarge,ap-southeast-1a,4193189,21248650296,0,0,4,353140178,340412753,398116,388879,11.95,0,0,0,0,137612,0,34332,0,204787,463299,0,120466,0,,
flo-redis,flo-redis-0001-003,cache.r4.2xlarge,ap-southeast-1c,4193227,21248773280,0,0,5,356010944,341650635,438616,407838,11.90198366,0,0,0,0,137934,0,34366,0,206254,465559,0,120845,0,,
flo-redis,flo-redis-0002-001,cache.r4.2xlarge,ap-southeast-1a,4197220,21093891296,481039,17382,234,578419036,1493809302,2501512,2939100,49.00816803,0,352179542,0,325616,249601,0,34529,0,378893,1042292,323311,381574,0,,
flo-redis,flo-redis-0002-002,cache.r4.2xlarge,ap-southeast-1a,4197203,21086068128,0,0,5,385389600,343588469,497121,436326,14.2523754,0,0,0,0,138207,0,34541,0,275677,673001,103368,121208,0,,
flo-redis,flo-redis-0002-003,cache.r4.2xlarge,ap-southeast-1c,4197214,21086033920,0,0,5,384519286,345182167,542897,460447,14.30238373,0,0,0,0,137993,0,34431,0,275077,671312,103081,120791,0,,
flo-redis,flo-redis-0003-001,cache.r4.2xlarge,ap-southeast-1a,4192259,20980788408,566375,17190,242,520529563,1530017482,2158923,2496297,42.85714286,0,328498118,0,412452,136818,0,34201,0,172764,686002,430106,377866,0,,
